,Ukraine,Ukraine,"Buldyka village, Apostolovo,",,,,,,Early  Pliocene,~5.3 -3.6 m,entire eggshell,Struthiolithus alexejevi,,,,,Roscin 1962,,,47.662709,47.662709,33.714187,33.714187,,
,Ukraine,Ukraine,"Buldyka village, Apostolovo,",,,,,,Early  Pliocene,~5.3 -3.6 m,entire eggshell,Struthiolithus adzalycensis,,,,,Roscin 1962,,,47.662709,47.662709,33.714187,33.714187,,
,,Namibia,,,,,,,Early (-Mid?) Pliocene,1-5 MA,,Struthio daberasensis,,,,,Senut B. 2000,,oospecies,-22.95764,-22.95764,18.49041,18.49041,,
,,Namibia,,,,,,,Early (-Mid?) Pliocene,2-5 Ma,eggshell,Struthio daberasensis,,,,,Senut B. 2000,,,-22.95764,-22.95764,18.49041,18.49041,,
,,Namibia,"Sud au Luderitz, Elisabethfeld,",,,,,,Early Miocene,20 ma,,Struthio coppensi,,,,," Mourer-Chauvire et al., 1996",,oldest Struthio fossil found,-22.95764,-22.95764,18.49041,18.49041,,
,,Namibia,"Sud au Luderitz, Elisabethfeld,",,,,,,Early Miocene,20 ma,left tibiotarsus- distal end and shaft (holotype) // (paratypes) left femur- proximal end // left tarsometatarsis- distal end // right tarsometatarsis- shaft // left fibula //,Struthio coppensi,,,,,"Mourer-Chauvire et al., 1996",,,-22.95764,-22.95764,18.49041,18.49041,,
,Georgia,East Georgia,Dmanisi,,,,,,Early Pleistocene,~2.5 M - .77 M,2 femora,Struthio dmanisensis ,,,,,N. I. _urchak-Abramovich and A. K. Vekua 1990; Vekua 2013,,,41.3298054,41.3298054,44.2073125,44.2073125,,
,Georgia,East Georgia,Dmanisi,,,,,,Early Pleistocene,~2.5 - .77 Ma,,Struthio dmanisensis ,,,,,,,,41.3298054,41.3298054,44.2073125,44.2073125,,
,Mongolia,Mongolia,"Doshen, Olan Chorea, Ertemte, Tjelgol-Tabool",,,,,,Early Pliocene,~ 5.3 m,,Struthio mongolicus,,,,,"Lowe, 1931",,,46.862496,46.862496,103.846656,103.846656,,
,India,India,Uttar Pradesh: Nullas,,,,,,Early Pliocene?,~5.3 -3.6 m,eggshell fragments (British Museum),Struthio indicus,Struthio asiaticus,,,,"Bidwell, 1904 Ibis","(E Bidwell - Ibis, 1910) * paper cited by Mikhailov requested",,26.8467088,26.8467088,80.9461592,80.9461592,,
revisited,Country*,Country,Region,Site,Calendar Date (95.4%) (BC),"Cal age BP "" 1s/ka",14C age BP,Calculated Age (1950 - # for BP) (BC),Epoch,Other available age data from publications cited,What type of sample,Species Referal,Species Referal Revised,Specimen Number * check (institution),Internal Lab ID ** check,details of location/environment,Cite,This paper cited...,Comments,Coordinate_lat,LAT,Coordinate_long,Long,,Dating Method
,Kenya,Western Kenya,,,,,,,late Middle Miocene,~16 - 5.3 Ma,,Struthio sp.,,,,,Pickford 1981,,loenard 2006,,,,,,
,,Tunisia,,,,,,,late Middle Miocene,~11.6 - 5.3 m (late Miocene),,Struthio sp.,,,,,"Rich, 1972",,,,,,,,
,China,China,"Yangwapuzijifang, Gansu Province",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,"incomplete pelvis, synsacrum",Struthio linxiaensis,,,,,Hou et al. 2005; Hou 1994?,,,36.059561,36.059561,103.826447,103.826447,,
,China,China,"Yangwapuzijifang, Gansu Province",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio linxiaensis,actually Orientornis?,,,, Hou et al. 2005; Hou 1994?,,,36.059561,36.059561,103.826447,103.826447,,
,Ukraine,Ukraine,"Velikaja Michajlovka County, Odessa District,",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Palaeostruthio sternatus,,,,,Burcak-Abramovich 1953,,,47.089387,47.089387,29.858264,29.858264,,
,,"Buldyka, Ukraine; China (Kalgan, Honan)",,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio chersonensis,,,,,"Eastman, 1896; Andersson 1923; Barbour 1924; Teilhard de Chardin 1928; Clark 1918)",,,35.86166,35.86166,104.195397,104.195397,,
,Ukraine,Ukraine,"Velikaja Michajlovka County, Odesa Distric",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Palaeostruthio sternatus,,,,,Burcak-Abramovich 1953,,,47.089387,47.089387,29.858264,29.858264,,
,,"Buldyka, Ukraine; China (Kalgan, Honan)",,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio chersonensis,,,,,"Eastman, 1896; Andersson 1923; Barbour 1924; Teilhard de Chardin 1928; Clark 1918)",,"described by Brandt, 1872",35.86166,35.86166,104.195397,104.195397,,
,Japan,Japan,terrestrial Aoso Formation,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,thoracic vertebra,Struthio sp? A large bird but needs investigation,,,,,BMNH- cast-comunication from Kohno unpublished?,,,,,,,,
,Ukraine,Ukraine,"Sirjaevo County, Odesa District,",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,distal tarsometatarsis epiphysis,Struthio novorossicus,,,,,"Aleksejev A. K., 1915",,,46.484583,46.484583,30.7326,30.7326,,
,Romania,Romania,Moldavia,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,"R tibiotarsus, distal end",Struthio orlovi,ratite,,,,"Kurochkin & Lungu, 1970",,,47.411631,47.411631,28.369885,28.369885,,
,,Persia (Iran) Maragha,,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,pedal phalanges,Struthio sp.,,,,,"LYDEKKER, Richard. On the Fossil Mammalia of Maragha, in North-western Persia. Quarterly Journal of the Geological Society, 1886, vol. 42, no 1-4, p. 173-176.",,,,,,,,
,Ukraine,Ukraine,"Sirjaevo County, Odesa District,",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio novorossicus,sister taxa,,,,"Aleksejev A. K., 1915",,described by Alekseev 1916,46.484583,46.484583,30.7326,30.7326,,
,Romania,Romania,Moldavia,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio orlovi,ratite,,,,"Kurochkin & Lungu, 1970",,2nd oldest Eurasian Struthio fossils,47.411631,47.411631,28.369885,28.369885,,
,,Africa,,,,,,,Late Miocene,5-8 MA,,Struthio karingarabensis,,,,,"Senut & Pickford, 1995",,,-8.783195,-8.783195,34.508523,34.508523,,
,,Tunisia,,,,,,,late Miocene,~11.6 - 5.3 Ma,,Struthio sp.,,,,,"Rich, 1972",,,,,,,,
,,Africa,,,,,,,Late Miocene,5-8 Ma,,Struthio karingarabensis,,,,,"Senut & Pickford, 1995",,,-8.783195,-8.783195,34.508523,34.508523,,
,Bulgaria,Bulgaria,,,,,,,Late Miocene/ Early Pliocene,~11.6 - 3.6 M,,Struthio karatheodoris,,,,,"Boev & Spassov, 2009",,,42.733883,42.733883,25.48583,25.48583,,
,Bulgaria,Bulgaria,,,,,,,Late Miocene/ Early Pliocene,~16.6 - 3.6 M,,Struthio karatheodoris,,,,,"Boev & Spassov, 2009",,"described by Forsyth Major, 1888",42.733883,42.733883,25.48583,25.48583,,
,,Tanzania,Olduvai,,,,,,Late Pliocene,~3.6 - 2.6 m,,Struthio oldowayi,,,,,"Lowe, P., 1933",,"not a distinct species, probably s. camelus ",-2.989571,-2.989571,35.353913,35.353913,,
,,Tanzania,,,,,,,Late Pliocene,4.5 ma,,Struthio kakesiensis,,,,,"Harrison & Msuya, 2005",,oospecies,-6.369028,-6.369028,34.888822,34.888822,,
,,Tanzania,Olduvai,,,,,,Late Pliocene,~3.6 - 2.6 m,,Struthio oldowayi,,,,,"Lowe, P., 1933",,,-2.989571,-2.989571,35.353913,35.353913,,
,,Tanzania,,,,,,,Late Pliocene,4.5ma,eggshell,Struthio kakesiensis,,,,,"Harrison & Msuya, 2005",,,-6.369028,-6.369028,34.888822,34.888822,,
,Hungary,"Kisláng, Hungary",County Fejér,,,,,,Late Pliocene/ Early Pleistocene,~3.6-.77M,"numerous fragments of egg shells, one coprourolith",Struthio (Pachystruthio) pannonicus,,,,Gravel pit a t th e S end of the village,"Kretzoi, 1954",,,46.9598173,46.9598173,18.3860884,18.3860884,,
,Hungary,"Kisláng, Hungary",County Fejér,,,,,,Late Pliocene/ Early Pleistocene,~3.6 M - .77 M,left pedal phalanx 1 digiti III,Struthio (Pachystruthio) pannonicus,,,,Gravel pit a t th e S end of the village,"Kretzoi, 1954",,,46.9598173,46.9598173,18.3860884,18.3860884,,
,,Algeria,,,,,,,Late Pliocene/ Early Pleistocene,"~3.6M -770,000 thousand ya",,Struthio barbarus,,,,,,,,28.033886,28.033886,1.659626,1.659626,,
,Ukraine,Ukraine,"Buldyka village, Apostolovo,",,,,,,Lower Pliocene,~5.3 -3.6 m,,Struthiolithus alexejevi,,,,,Roscin 1962,,,47.662709,47.662709,33.714187,33.714187,,
,Ukraine,Ukraine,"Buldyka village, Apostolovo,",,,,,,Lower Pliocene,~5.3 -3.6 m,,Struthiolithus adzalycensis,,,,,Roscin 1962,,,47.662709,47.662709,33.714187,33.714187,,
,Mongolia,Mongolia,"Doshen, Olan Chorea, Ertemte, Tjelgol-Tabool",,,,,,Lower Pliocene,~5.3 -3.6 m,,Struthio mongolicus,Struthio anderssoni,,,,"Lowe, 1931",,,46.862496,46.862496,103.846656,103.846656,,
,India,India,Uttar Pradesh: Nullas,,,,,,Lower Pliocene?,~5.3 -3.6 m,,Struthio indicus,Struthio asiaticus,,,,"Bidwell, 1904 Ibis","(E Bidwell - Ibis, 1910) * paper cited by Mikhailov requested",,26.8467088,26.8467088,80.9461592,80.9461592,,
,Ukraine,Ukraine,Hrebenyky,,,,,,Middle Miocene,~16-11.6 m,,Struthio brachydactylus,,,,,"Burchak-Abramovich, 1939; Burcak-Abramovic, 1949",,"oldest Eurasian Struthio?; ""relatively small but heavily build ostrich with short and compact feet"" (Sauer, 1979 p. 496)",47.459444,47.459444,31.945278,31.945278,,
,Ukraine,Ukraine,Odessa,karst cave near Odessa,,,,,Middle Pliocene,~ 5-3 Ma,femora (4) (3 right femora),Struthio sp. ,,,,,N. I. _urchak-Abramovich and A. K. Vekua 1990 ,,,,,,,,
,,"China: Honan, Shansi provinces; Mongolia?",,,,,,,Pleistocene,"~ 2.6 m - 11,700 years ago",,Struthio anderssoni,,,,,"Lowe, 1931",,oospecies?,46.862496,46.862496,103.846656,103.846656,,
,,"China: Honan, Shansi provinces; Mongolia?",,,,,,,Pleistocene,"~2.58 M - 11,700 years ago",complete OES,Struthio anderssoni,,,,,"Lowe, 1931",,,46.862496,46.862496,103.846656,103.846656,,
,India,India,,,,,,,pleistocene,39000-25000,beads,,,,,,"Bednarik, R 1997",,,,,,,,
,,"China, Mongolia",,,,,,,Pliocene,~5.4 - 2.4 ma,,Struthio wimani,,,,,"Lowe, 1931",,,46.862496,46.862496,103.846656,103.846656,,
,,"China, Mongolia",,,,,,,Pliocene,~5.4 - 2.4 m,,Struthio wimani,,,,,"Lowe, 1931",,,46.862496,46.862496,103.846656,103.846656,,
,India,"India, Ukraine, Moldova",,,,,,,Pliocene,~ 5.4 - 2.4 m,distal tarsometatarsus,Struthio asiaticus,,,,,"Brodkorb, 1963;",* paper cited by Mikhailov requested,,47.411631,47.411631,28.369885,28.369885,,
,,"India, Ukraine, Moldova",,,,,,,Pliocene,~5.4 - 2.4 ma,,Struthio asiaticus,,,,,"Brodkorb, 1963",,"direct relation with karatheodoris; described by Milne-Edwards, 1871",47.411631,47.411631,28.369885,28.369885,,
,,Nimibia,Etosha Pan: Beisebvlakte,,,,,,Pliocene or Pleistocene?,"~5.4 M - 11,700 years ago",,Struthio oshanai ?,,,,,"Sauer, 1966",,,-18.7507137,-18.7507137,16.2522143,16.2522143,,
,Georgia,East Georgia,Middle Akchagil of Kwabebi region,,,,,,Pliocene+Pleistocene?,"~5.4 M - 11,700 years ago",pelvis+ eggshell,Stuthio transcaucasicus,,,,,"N. I. _urchak-Abramovich and A. K. Vekua 1971, 1990 ",,,,,,,,
,,,Table 1: Geographic Distributions and Age of Ostrich Eggshells from Eurasia,,,,,,,,,,,,,,,,,,,,,,
Y,China,China (PRC),eastern Inner Mongolia,Baron Shabaka (BS19),,14714 ± 333,12450 ± 74,10500±74,,,OES,Struthio anderssoni Lowe,,2225-02,AA76427,,"Janz et al., 2009",,,,,,,,
Y- correct lab # from cite,China,China (PRC),,Shuidonggou Locality 2 ,,,26930 ± 120,24980±120,,,OES,,,,Beta 132984,,"Madsen et al., 2001",,"OES ""may be incidental""",,,,,,
Y - incorrect lab #from cite,China,China (PRC),,Shuidonggou,,33232 ± 200,26930 ± 120,24980±120,,,OES,Struthio anderssoni Lowe,,,Beta 132084,"ssociated archaeological dates from Shiyu and Xiaonanhui fall in late MIS 3 (37.6–25 ka BP), when climate was drier","Janz et al., 2009","Madsen et al., 2001",,,,,,,
,China,China (PRC),,Shuidonggou Locality 2 ,,31000 BP,,29050,,,6 OES beads (OESB),,,,,earliest evidence of symbolic pigment use from China.,"Marti et al., 2017",,,,,,,,SEM-EDS and µ-Raman spectroscopy.
Y - requested article,China,China (PRC),Inner Mongolia,Dorolj 1,,31880 ± 800,36368 ± 1218,34418±1218,,,OES,,,Gif-11664,,"associated archaeological dates from Shiyu and Xiaonanhui fall in late MIS 3 (37.6–25 ka BP), when climate was drier","Janz et al., 2009","Jaubert et al., 2004",,,,,,,
Eggshell project samples: IVPP no specimen number ,,,,,,,"10,000-30,000",8050,,"about 18,000ka in other sources",. 5 samples in a plastic box,,,,IVPP no specimen number ,same level as Shandingdong man cave site.?,,,,,,,,,
Linxia ostrich 6 million year.,,,,,,,6 million year.,1944millionyear.,,,,Linxia ostrich,,,,,,,,,,,,,
,Mongolia,Mongolia,,"Shabarakh-usu, Barun Daban",,"8,195-9,550",7483 ± 47 - 8522 ± 50,5533±47,,,N=13,,,,,Desert steppe. Arboreal taxa around lakes.,"Routledge, 2020",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 2,,8852 ± 98,7969 ± 37,6019±37,,,OES,Struthio anderssoni Lowe,,,AA76419a,a Weighted average of three dates from same shell fragment.,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 7,,8984 ± 96,8081 ± 49,6131± 49,,,OES,Struthio anderssoni Lowe,,,AA76425,,"Janz et al., 2009",,,,,,,,
Y,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 2,,9401 ± 66,8396 ± 52,6446± 52,,,OES,Struthio anderssoni Lowe,,790-01,AA76416,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 2,,9268 ± 99,8268 ± 44,6318± 44,,,OES,Struthio anderssoni Lowe,,,AA76417,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 7,,8919 ± 96,8054 ± 43,6104± 43,,,OES,Struthio anderssoni Lowe,,,AA76422,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 7,,9458 ± 51,8439 ± 60,6489± 60,,,OES,Struthio anderssoni Lowe,,,AA76424,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 2,,9134 ± 89,8159 ±59,6209±59,,,OES,Struthio anderssoni Lowe,,,AA76420,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,South Gobi,Shabarkh-usu,,"9,035-9,408",,,,,,,,,73/98A,,,,,42.81807°N,42.81807,104.1379°E,104.1379,,
,Mongolia,Mongolia,South Gobi,Shabarkh-usu,,"8,196-8,382",,,,,,,,,73/648A,,,,,42.81807°N,42.81807,104.1379°E,104.1379,,
,Mongolia,Mongolia,South Gobi,Shabarkh-usu,,"9,296-9,519",,,,,,,,,73/790A01,,,,,42.81807°N,42.81807,104.1379°E,104.1379,,
,Mongolia,Mongolia,South Gobi,Shabarkh-usu,,"9,306-9,537",,,,,,,,,73/1034A03,,,,,42.81807°N,42.81807,104.1379°E,104.1379,,
,Mongolia,Mongolia,South Gobi,Barun Daban,,"9,134-9,457",,,,,,,,,73/1790A,,,,,42.81797°N,42.81797,104.13787°E,104.13787,,
,Mongolia,Mongolia,South Gobi,Barun Daban,,"9,140-9,480",,,,,,,,,73/1790B,,,,,42.81797°N,42.81797,104.13787°E,104.13787,,
,Mongolia,Mongolia,South Gobi,Shabarkh-usu,,"9,094-9,424",,,,,,,,,73/790A02,,,,,42.81807°N,42.81807,104.1379°E,104.1379,,
,Mongolia,Mongolia,,Chikhen Agui,,,"10,060 ± 50",8110± 50,,,,"Struthio asiaticus (Brodkorb,1963)",,,""" 79775""",,"Kurochkin et al., 2010",,,44.77,44.77,99.07,99.07,,
,Mongolia,Mongolia,,Chikhen Agui,,,""" 10,330 ± 55""",8380± 55,,,,Struthio asiaticus,,,79774,,"Kurochkin et al., 2010",,,,,,,,
,Mongolia,,,"outwash cut at Baga Gazaryn Chuluu, Middle Gobi (BGC1451)",,14255 ± 249,12203 ± 73,10253± 73,,,,Struthio anderssoni Lowe,,,,the excavated cultural deposit directly overlay a layer of pale Pleistocene loess,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,,Mongolian Baga Gazaryn Chuluu site (BGC 1451),,14255 ± 249,12203 ± 73,10253± 73,,,,Struthio anderssoni Lowe,,,,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,,Tolbor,,"25,875 - 26,255","21,845 ±79",19895±79,,,N=1,Struthio anderssoni Lowe,,,,"Tundra or Steppe: Reduced arboreal species, Artemesia and Poaceae prevalent","Routledge, 2020",,,,,,,,
,Mongolia,Mongolia,Bayan-dzak,Shabarakh-usu 7,,43027 ± 823,38600 ± 1000,36650± 1000,,,OES,Struthio anderssoni Lowe,,,AA76423,,"Janz et al., 2009",,,,,,,,
,Mongolia,Mongolia,,Khar-Khets,,,"37,510 ± 930",35560±930,,,Internal part of eggshell.,Struthio asiaticus,,,60742b,,"Kurochkin et al., 2010",,,""" 45.17""",45.17,101.17,101.17,,
,Mongolia,Mongolia,,Ongonc,,,"37,770 ± 900",35820± 900,,,Internal part of eggshell.,Struthio asiaticus,,,60774b,,"Kurochkin et al., 2010",,,""" 50.00""",50,105.67,105.67,,
,Mongolia,Mongolia,,Bain-Dzak,,,"37,810 ± 900",35860± 900,,,Internal part of eggshell.,Struthio asiaticus,,,""" 60746b""",,"Kurochkin et al., 2010",,,""" 43.13""",43.13,""" 103.25",103.25,,
,Mongolia,Mongolia,,Mogoin-Ulagiin-Khets,,,"38,800 ± 1100",36850± 1100,,,Internal part of eggshell.,Struthio asiaticus,,,60743b,,"Kurochkin et al., 2010",,,""" 45.42""",45.42,109.25,109.25,,
,Mongolia,Mongolia,,,,,"35,950 ± 740",34000±740,,,external parts of eggshells,Struthio asiaticus,,,60674a,Consistent with age of internal part within ±2 sigma,,,,,,,,,
,Mongolia,Mongolia,,,,,"37,880 ± 880",35930±880,,,external parts of eggshells,Struthio asiaticus,,,60676a,Consistent with age of internal part within ±2 sigma,,,,,,,,,
,Mongolia,Mongolia,,Naran-Bulak,,,"38,800 ± 1000",36850±1000,,,Internal part of eggshell.,Struthio asiaticus,,,60745b,,"Kurochkin et al., 2016",,,""" 43.47""",43.47,100.42,100.42,,
,Mongolia,Mongolia & Russia,,"Tolbor, Bayangoliin am, Podzvonkaya, Tri Skaly, Ust’- Kyahta",,"34,860 - 44,560","31,427 ±177 - 40,103 ±457",29477±177,,,N=8,,,,,Forest/Steppe or Forest Tundra: cool and dry with high winds. Low lake levels,"Routledge, 2020",,,,,,,,
,Mongolia,Mongolia,,Shabarakh-usu,,"32,985 - 44,345","30,490 ± 780 - 38,600 ± 1000",28540±780,,,N=2,,,,,Warm and wet: broadleaf and needle leaf arboreal species. Steppe at lower elevation,"Routledge, 2020",,,,,,,,
,Mongolia,Mongolia,,,,,"47,210 ± 2900",45260±2900,,,external parts of eggshells,Struthio asiaticus,,,60672b,Inconsistent with age of internal part within ±2 sigma,,,,,,,,,
,Mongolia,Mongolia,,,,,"41,700 ± 1400",39750±1400,,,external parts of eggshells,Struthio asiaticus,,,""" 60673a""",Consistent with age of internal part within ±2 sigma,,,,,,,,,
,Mongolia,Mongolia,,Ikhe-Barkhe-Tologoi,,,"41,700 ± 1600",39750±1600,,,Internal part of eggshell.,Struthio asiaticus,,,60747b,,"Kurochkin et al., 2017",,,""" 45.47""","45.47""",""" 95.13""",95.13,,
delete? looks like janz 2015,Mongolia,Mongolia,,Mantissar,,"17,855 - 18,310","14,857±85",12907±85,,,N=1,,,,,"Improved moisture, unstable steppe with alpine forest","Routledge, 2020",,,,,,,,
,,Japan?,,Otson Tsokhio,,"35,780 - 37,700","32,366±193 - 32,890 ±196",30416193,,,N=4,,,,,Desert/Steppe: relatively wet. Under East Asian Monsoon Regime,"Routledge, 2020",,,,,,,,
delete? looks like janz 2015,,,,"Shara Marun Crossing, Baron Shabaka Well",,"14,200 - 17,475","12,450 ± 74 - 14,129 ± 80",10500±74,,,N=4,,,,,Desert/Steppe: relatively wet. Under East Asian Monsoon Regime,"Routledge, 2020",,,,,,,,
delete? looks like janz 2015,,,,"Alkali Well, Chilian Hotoga Well",,"10,710 - 12,685","9,562 ± 51 - 10,586 ± 56",7612±51,,,N=3,,,,,"Desert/Steppe: arboreal species present (pine), warm and wet","Routledge, 2020",,,,,,,,
Y,,,,Ulan Ereg site (EGS 028),,20456 ± 373,17100 ± 100,15150100,,,OES,Struthio anderssoni Lowe,,,AA80245,in a deflated Pleistocene dune in the Egiin Gol valley (very near Dorolj 1,"Janz et al., 2009",,,,,,,,
Y,,,,BGC1451,,14255 ± 249,12203 ± 73,1025373,,,OES,Struthio anderssoni Lowe,,,AA80246,,"Janz et al., 2009",,,,,,,,
Y,Mongolia,Mongolia,,Mantissar 4,"16,631 - 15,906 BC",,"14,857 ± 85",12907±85,,,finished OES bead,,,K.13290:44,AA87197,,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Yingen-khuduk,"46,320 - 40,821 BC",,"41,900+-1500",39950±1500,,,rough OES bead,,,K.13212:184,AA87198,,"Janz et al., 2015",,,,,,,,AMS
repeated?,,,,,,,,,,,,,,,,,,,,,,,,,
